,times,accuracies,macro_f1s,macro_f1s_train,accuracies_train
Naive_Bayes,0.20878052711486816,0.3139503754949065,0.32864062531532906,0.3242518121073688,0.3117908760113988
Logistic_Regression,140.9892921447754,0.457357023093289,0.38744107653336685,0.390149714894756,0.4586510925044648
Random_Forest,552.5100529193878,0.4516365378383329,0.40287148086847024,0.9954557564384595,0.9961569486665562
Decision_Tree,31.206321239471436,0.44005466867682075,0.37396922845211866,0.40857817129301033,0.4603348491840121
SVM,98.16882061958313,0.4476491059980556,0.3075730606883237,0.3096739407518935,0.4496370060129135
ADA_Boost,194.58276677131653,0.4564693615882096,0.385864338783599,0.3856001514343104,0.4558894497497261
XG_Boost,272.5029320716858,0.4644160455384442,0.41166618997079707,0.4654012707819269,0.5007062619544963
